ProcurementPlanID,FinancialYear,Directorate,CostCentre,RegionCode,ProcurementDescription,ProcurementCategory,ProcurementMethod,PlannedProcurementDate,EstimatedCost,ApprovedBudget,ActualContractValue,SupplierCategory,TenderReference,ContractStartDate,ContractEndDate,ProcurementStatus,PercentageComplete,AmountPaid,OutstandingContractAmount,ResponsibleRole,DelayDays,RiskRating
PP-00207,FY2024/2025,DIR-07,CC-007,RG-01,ICT Services - Legal and Corporation Secretary Directorate - HQ,Printing and Stationery,Direct Procurement,2024-11-14,3077000,3072000,3538000,ICT Services,TND-812707,2024-12-29,2025-09-04,Planned,58,2048000,1490000,Procurement Officer,0,Low
PP-00208,FY2024/2025,DIR-13,CC-021,RG-08,Construction - Regional Office - Western Region,Medical Supplies,Low-Value Procurement,2024-12-22,626000,669000,606000,Fuel and Lubricants,TND-605085,2025-02-07,2026-01-05,Completed,50,302000,304000,Procurement Officer,16,Medium
PP-00209,FY2024/2025,DIR-13,CC-020,RG-07,Fuel and Lubricants - Regional Office - Rift Valley Region,Maintenance,Open Tender,2025-01-22,702000,704000,0,Professional Services,,,,Ongoing,0,0,0,Procurement Officer,22,Medium
PP-00210,FY2024/2025,DIR-05,CC-005,RG-01,Cleaning Services - Procurement and Supply Chain Directorate - HQ,Equipment,Restricted Tender,2025-01-05,1115000,1121000,1106000,Fuel and Lubricants,TND-873128,2025-02-05,2025-06-27,Contract Signed,23,259000,847000,Procurement Officer,0,Low
PP-00211,FY2024/2025,DIR-13,CC-013,RG-01,Equipment - Regional Operations Directorate - HQ,Office Furniture,Restricted Tender,2024-11-11,4959000,4999000,4841000,Utilities,TND-699656,2025-02-01,2025-05-13,Awarded,29,1420000,3421000,Procurement Officer,0,Low
PP-00212,FY2024/2025,DIR-12,CC-023,RG-01,Printing and Stationery - Infrastructure Project Unit 02,Training,Framework Agreement,2025-03-08,1930000,2118000,2172000,ICT Services,TND-738545,2025-05-22,2025-10-10,Planned,95,2069000,103000,Procurement Officer,0,Low
PP-00213,FY2024/2025,DIR-11,CC-031,RG-01,Office Furniture - Technical Service Unit 03,Fuel and Lubricants,Open Tender,2025-02-22,6690000,6546000,7660000,Travel and Accommodation,TND-417106,2025-05-23,2025-10-21,Planned,73,5598000,2062000,Procurement Officer,0,Low
PP-00214,FY2024/2025,DIR-07,CC-007,RG-01,Cleaning Services - Legal and Corporation Secretary Directorate - HQ,Training,Low-Value Procurement,2024-09-14,4436000,4818000,0,Security Services,,,,Delayed,0,0,0,Procurement Officer,116,Critical
PP-00215,FY2024/2025,DIR-12,CC-025,RG-04,Medical Supplies - Infrastructure Project Unit 04,Construction,Direct Procurement,2025-01-04,2969000,3126000,3230000,Utilities,TND-729687,2025-03-25,2026-03-07,Contract Signed,73,2342000,888000,Procurement Officer,0,Low
PP-00216,FY2024/2025,DIR-13,CC-015,RG-02,Office Furniture - Regional Office - Central Region,ICT Services,Low-Value Procurement,2025-03-06,5290000,5342000,5175000,Travel and Accommodation,TND-588359,2025-05-05,2026-03-31,Ongoing,25,1303000,3872000,Procurement Officer,59,High
PP-00217,FY2024/2025,DIR-12,CC-025,RG-04,Cleaning Services - Infrastructure Project Unit 04,ICT Services,Open Tender,2024-08-20,784000,807000,888000,Utilities,TND-159101,2024-10-31,2025-05-01,Completed,40,359000,529000,Procurement Officer,51,High
PP-00218,FY2024/2025,DIR-13,CC-019,RG-06,Utilities - Regional Office - Nyanza Region,Cleaning Services,Open Tender,2025-02-07,4797000,4968000,4276000,Consultancy,TND-688255,2025-03-22,2026-02-21,Evaluation,42,1802000,2474000,Procurement Officer,0,Low
PP-00219,FY2024/2025,DIR-13,CC-019,RG-06,Equipment - Regional Office - Nyanza Region,Travel and Accommodation,Request for Quotations,2025-03-06,7038000,6949000,0,Equipment,,,,Delayed,0,0,0,Procurement Officer,79,High
PP-00220,FY2024/2025,DIR-13,CC-013,RG-01,Printing and Stationery - Regional Operations Directorate - HQ,Printing and Stationery,Direct Procurement,2024-07-08,3208000,3133000,3492000,ICT Services,TND-231892,2024-08-21,2024-12-07,Planned,78,2720000,772000,Procurement Officer,0,Low
PP-00221,FY2024/2025,DIR-13,CC-015,RG-02,Professional Services - Regional Office - Central Region,Consultancy,Open Tender,2024-07-14,7441000,7105000,0,Consultancy,,,,Ongoing,0,0,0,Procurement Officer,33,Medium
PP-00222,FY2024/2025,DIR-07,CC-007,RG-01,Consultancy - Legal and Corporation Secretary Directorate - HQ,Maintenance,Low-Value Procurement,2024-09-28,7546000,7642000,6569000,Travel and Accommodation,TND-948282,2024-11-03,2025-08-23,Evaluation,81,5332000,1237000,Procurement Officer,0,Low
PP-00223,FY2024/2025,DIR-09,CC-009,RG-01,Travel and Accommodation - Corporate Communications and Customer Experience Directorate - HQ,Travel and Accommodation,Restricted Tender,2025-01-10,1280000,1371000,1287000,Construction,TND-758409,2025-03-06,2025-07-17,Evaluation,85,1091000,196000,Procurement Officer,0,Low
PP-00224,FY2024/2025,DIR-13,CC-018,RG-05,Cleaning Services - Regional Office - North Eastern Region,Medical Supplies,Restricted Tender,2024-09-22,4569000,4523000,3972000,Printing and Stationery,TND-155374,2024-12-18,2025-03-18,Advertised,81,3205000,767000,Procurement Officer,0,Low
PP-00225,FY2024/2025,DIR-13,CC-014,RG-01,Equipment - Regional Office - Nairobi Region,Cleaning Services,Direct Procurement,2024-09-10,7377000,7992000,0,Training,,,,Delayed,0,0,0,Procurement Officer,60,High
PP-00226,FY2024/2025,DIR-12,CC-028,RG-02,Utilities - Infrastructure Project Unit 07,Maintenance,Direct Procurement,2024-07-21,6071000,6152000,0,Professional Services,,,,Awarded,0,0,0,Procurement Officer,0,Low
PP-00227,FY2024/2025,DIR-13,CC-020,RG-07,Cleaning Services - Regional Office - Rift Valley Region,Fuel and Lubricants,Low-Value Procurement,2025-01-21,4800000,4569000,0,Professional Services,,,,Ongoing,0,0,0,Procurement Officer,6,Low
PP-00228,FY2024/2025,DIR-12,CC-012,RG-01,Consultancy - Projects and Infrastructure Directorate - HQ,Medical Supplies,Low-Value Procurement,2024-11-28,1221000,1338000,1049000,Consultancy,TND-768857,2025-01-29,2025-12-09,Delayed,66,697000,352000,Procurement Officer,63,High
PP-00229,FY2024/2025,DIR-10,CC-010,RG-01,"Utilities - Research, Monitoring and Evaluation Directorate - HQ",Maintenance,Open Tender,2024-08-08,4984000,4937000,4901000,Construction,TND-774860,2024-09-30,2025-06-01,Ongoing,66,3243000,1658000,Procurement Officer,20,Medium
PP-00230,FY2024/2025,DIR-12,CC-022,RG-02,Equipment - Infrastructure Project Unit 01,Cleaning Services,Direct Procurement,2024-11-26,6707000,6701000,5988000,Professional Services,TND-757028,2025-01-26,2025-09-15,Delayed,92,5512000,476000,Procurement Officer,5,Low
PP-00231,FY2024/2025,DIR-12,CC-012,RG-01,Equipment - Projects and Infrastructure Directorate - HQ,Construction,Framework Agreement,2024-10-11,4134000,4477000,4263000,Travel and Accommodation,TND-568004,2024-12-26,2025-10-24,Completed,90,3828000,435000,Procurement Officer,8,Low
PP-00232,FY2024/2025,DIR-11,CC-029,RG-02,Printing and Stationery - Technical Service Unit 01,Professional Services,Framework Agreement,2024-08-26,7245000,7620000,7581000,Utilities,TND-897978,2024-10-31,2025-04-18,Advertised,41,3098000,4483000,Procurement Officer,0,Low
PP-00233,FY2024/2025,DIR-09,CC-009,RG-01,Maintenance - Corporate Communications and Customer Experience Directorate - HQ,Construction,Restricted Tender,2024-08-05,4623000,4604000,4072000,Fuel and Lubricants,TND-338052,2024-10-19,2025-09-30,Ongoing,71,2884000,1188000,Procurement Officer,105,Critical
PP-00234,FY2024/2025,DIR-08,CC-008,RG-01,Travel and Accommodation - Internal Audit and Risk Directorate - HQ,Fuel and Lubricants,Open Tender,2024-11-21,6638000,6748000,0,Security Services,,,,Evaluation,0,0,0,Procurement Officer,0,Low
PP-00235,FY2024/2025,DIR-08,CC-008,RG-01,Travel and Accommodation - Internal Audit and Risk Directorate - HQ,Cleaning Services,Low-Value Procurement,2024-09-27,8000000,8130000,8086000,Security Services,TND-722345,2024-11-30,2025-08-19,Ongoing,70,5643000,2443000,Procurement Officer,115,Critical
PP-00236,FY2024/2025,DIR-12,CC-026,RG-04,Equipment - Infrastructure Project Unit 05,Construction,Request for Quotations,2024-10-21,3743000,3997000,3946000,Training,TND-693688,2024-11-30,2025-08-22,Ongoing,63,2480000,1466000,Procurement Officer,76,High
PP-00237,FY2024/2025,DIR-08,CC-008,RG-01,Equipment - Internal Audit and Risk Directorate - HQ,Printing and Stationery,Framework Agreement,2024-08-01,4198000,4590000,4596000,Security Services,TND-639442,2024-09-12,2025-02-09,Planned,97,4471000,125000,Procurement Officer,0,Low
PP-00238,FY2024/2025,DIR-13,CC-021,RG-08,Printing and Stationery - Regional Office - Western Region,Equipment,Direct Procurement,2024-08-15,6657000,7067000,0,Maintenance,,,,Evaluation,0,0,0,Procurement Officer,0,Low
PP-00239,FY2024/2025,DIR-11,CC-032,RG-01,ICT Services - Technical Service Unit 04,Utilities,Open Tender,2024-11-07,485000,508000,529000,ICT Services,TND-431827,2024-12-27,2025-05-06,Planned,82,433000,96000,Procurement Officer,0,Low
PP-00240,FY2024/2025,DIR-04,CC-004,RG-01,Training - Human Resource and Administration Directorate - HQ,Equipment,Open Tender,2025-02-26,5548000,5610000,5820000,Equipment,TND-773609,2025-05-05,2025-10-04,Advertised,50,2883000,2937000,Procurement Officer,0,Low
PP-00241,FY2025/2026,DIR-05,CC-005,RG-01,Travel and Accommodation - Procurement and Supply Chain Directorate - HQ,Travel and Accommodation,Request for Quotations,2026-02-01,4368000,4175000,4100000,Maintenance,TND-539988,2026-03-03,2026-10-16,Planned,39,1579000,2521000,Procurement Officer,0,Low
PP-00242,FY2025/2026,DIR-13,CC-016,RG-03,Travel and Accommodation - Regional Office - Coast Region,Medical Supplies,Open Tender,2025-11-01,1554000,1513000,1474000,Maintenance,TND-922245,2026-01-06,2026-09-24,Ongoing,39,572000,902000,Procurement Officer,6,Low
PP-00243,FY2025/2026,DIR-13,CC-021,RG-08,Equipment - Regional Office - Western Region,Fuel and Lubricants,Direct Procurement,2025-08-01,3916000,4098000,4434000,Training,TND-350948,2025-09-27,2026-06-21,Delayed,35,1535000,2899000,Procurement Officer,13,Low
PP-00244,FY2025/2026,DIR-11,CC-030,RG-07,Travel and Accommodation - Technical Service Unit 02,Office Furniture,Open Tender,2025-09-07,5231000,5745000,0,Professional Services,,,,Awarded,0,0,0,Procurement Officer,0,Low
PP-00245,FY2025/2026,DIR-02,CC-002,RG-01,Consultancy - Finance and Accounts Directorate - HQ,Office Furniture,Open Tender,2026-03-06,4236000,4370000,4508000,Fuel and Lubricants,TND-334157,2026-04-22,2026-08-29,Contract Signed,98,4424000,84000,Procurement Officer,0,Low
PP-00246,FY2025/2026,DIR-12,CC-028,RG-02,Security Services - Infrastructure Project Unit 07,Utilities,Framework Agreement,2025-07-13,3158000,3040000,3313000,Security Services,TND-759849,2025-10-02,2026-08-07,Contract Signed,92,3056000,257000,Procurement Officer,0,Low
PP-00247,FY2025/2026,DIR-12,CC-026,RG-04,Equipment - Infrastructure Project Unit 05,Maintenance,Low-Value Procurement,2025-07-24,7548000,7702000,0,Equipment,,,,Evaluation,0,0,0,Procurement Officer,0,Low
PP-00248,FY2025/2026,DIR-12,CC-024,RG-05,Equipment - Infrastructure Project Unit 03,Utilities,Request for Quotations,2026-01-01,2655000,2652000,2835000,Utilities,TND-809718,2026-02-08,2026-11-08,Evaluation,49,1382000,1453000,Procurement Officer,0,Low
PP-00249,FY2025/2026,DIR-12,CC-026,RG-04,Training - Infrastructure Project Unit 05,Medical Supplies,Request for Quotations,2026-03-04,750000,797000,686000,Training,TND-800517,2026-05-27,2027-01-07,Advertised,93,640000,46000,Procurement Officer,0,Low
PP-00250,FY2025/2026,DIR-13,CC-018,RG-05,Office Furniture - Regional Office - North Eastern Region,Construction,Low-Value Procurement,2025-10-23,6332000,6304000,0,Travel and Accommodation,,,,Cancelled,0,0,0,Procurement Officer,0,Low
PP-00251,FY2025/2026,DIR-02,CC-002,RG-01,Professional Services - Finance and Accounts Directorate - HQ,Maintenance,Direct Procurement,2025-12-05,4831000,5223000,5031000,Equipment,TND-383131,2026-02-28,2026-12-20,Completed,33,1680000,3351000,Procurement Officer,59,High
PP-00252,FY2025/2026,DIR-13,CC-013,RG-01,Maintenance - Regional Operations Directorate - HQ,Office Furniture,Direct Procurement,2025-07-01,2173000,2194000,2498000,Construction,TND-434301,2025-09-09,2026-02-07,Delayed,95,2376000,122000,Procurement Officer,11,Low
PP-00253,FY2025/2026,DIR-06,CC-006,RG-01,Training - Information and Communication Technology Directorate - HQ,Printing and Stationery,Open Tender,2025-11-12,7404000,7572000,8287000,Maintenance,TND-261012,2025-12-25,2026-07-30,Completed,56,4611000,3676000,Procurement Officer,39,Medium
PP-00254,FY2025/2026,DIR-13,CC-020,RG-07,Office Furniture - Regional Office - Rift Valley Region,Cleaning Services,Request for Quotations,2025-07-27,2902000,3093000,2994000,Maintenance,TND-879199,2025-09-29,2026-02-28,Advertised,100,2984000,10000,Procurement Officer,0,Low
PP-00255,FY2025/2026,DIR-01,CC-001,RG-01,Travel and Accommodation - Office of the Chief Executive Officer - HQ,Utilities,Restricted Tender,2025-07-27,5071000,5153000,0,Printing and Stationery,,,,Ongoing,0,0,0,Procurement Officer,33,Medium
PP-00256,FY2025/2026,DIR-10,CC-010,RG-01,"ICT Services - Research, Monitoring and Evaluation Directorate - HQ",Travel and Accommodation,Restricted Tender,2026-02-11,6370000,6557000,0,Utilities,,,,Evaluation,0,0,0,Procurement Officer,0,Low
PP-00257,FY2025/2026,DIR-13,CC-021,RG-08,Security Services - Regional Office - Western Region,ICT Services,Framework Agreement,2026-02-17,3916000,3787000,3959000,Consultancy,TND-989002,2026-04-26,2027-04-06,Planned,48,1908000,2051000,Procurement Officer,0,Low
PP-00258,FY2025/2026,DIR-03,CC-003,RG-01,"Equipment - Strategy, Planning and Performance Directorate - HQ",Maintenance,Restricted Tender,2026-02-06,2559000,2605000,2188000,Fuel and Lubricants,TND-448810,2026-04-26,2026-10-25,Delayed,55,1211000,977000,Procurement Officer,91,Critical
PP-00259,FY2025/2026,DIR-13,CC-018,RG-05,Construction - Regional Office - North Eastern Region,Cleaning Services,Restricted Tender,2025-12-26,3547000,3463000,0,Equipment,,,,Planned,0,0,0,Procurement Officer,0,Low
PP-00260,FY2025/2026,DIR-11,CC-031,RG-01,Medical Supplies - Technical Service Unit 03,Professional Services,Open Tender,2025-11-19,6576000,6384000,6768000,Equipment,TND-814153,2026-01-29,2026-05-30,Ongoing,91,6187000,581000,Procurement Officer,0,Low
PP-00261,FY2025/2026,DIR-03,CC-003,RG-01,"ICT Services - Strategy, Planning and Performance Directorate - HQ",Construction,Direct Procurement,2025-08-03,7430000,7326000,0,Travel and Accommodation,,,,Advertised,0,0,0,Procurement Officer,0,Low
PP-00262,FY2025/2026,DIR-08,CC-008,RG-01,Consultancy - Internal Audit and Risk Directorate - HQ,Cleaning Services,Low-Value Procurement,2025-08-19,650000,704000,701000,Maintenance,TND-261008,2025-11-03,2026-04-19,Advertised,27,190000,511000,Procurement Officer,0,Low
PP-00263,FY2025/2026,DIR-09,CC-009,RG-01,Training - Corporate Communications and Customer Experience Directorate - HQ,Consultancy,Framework Agreement,2025-07-18,4948000,5191000,0,Consultancy,,,,Delayed,0,0,0,Procurement Officer,37,Medium
PP-00264,FY2025/2026,DIR-12,CC-022,RG-02,Printing and Stationery - Infrastructure Project Unit 01,Construction,Low-Value Procurement,2026-01-01,7032000,6993000,7701000,ICT Services,TND-593950,2026-03-24,2026-07-25,Completed,50,3883000,3818000,Procurement Officer,38,Medium
PP-00265,FY2025/2026,DIR-11,CC-029,RG-02,Construction - Technical Service Unit 01,Consultancy,Low-Value Procurement,2025-12-24,1798000,1954000,1561000,Consultancy,TND-337897,2026-03-08,2026-12-31,Completed,66,1026000,535000,Procurement Officer,30,Medium
PP-00266,FY2025/2026,DIR-03,CC-003,RG-01,"Printing and Stationery - Strategy, Planning and Performance Directorate - HQ",Travel and Accommodation,Framework Agreement,2025-12-21,7680000,7934000,7802000,Travel and Accommodation,TND-211272,2026-01-23,2026-09-20,Evaluation,43,3356000,4446000,Procurement Officer,0,Low
PP-00267,FY2025/2026,DIR-11,CC-029,RG-02,Fuel and Lubricants - Technical Service Unit 01,Travel and Accommodation,Direct Procurement,2025-09-22,3053000,3145000,3352000,Professional Services,TND-215522,2025-10-22,2026-10-04,Evaluation,49,1654000,1698000,Procurement Officer,0,Low
PP-00268,FY2025/2026,DIR-13,CC-020,RG-07,Professional Services - Regional Office - Rift Valley Region,Professional Services,Low-Value Procurement,2025-12-13,5318000,5477000,4751000,Fuel and Lubricants,TND-665249,2026-03-06,2026-10-11,Planned,86,4085000,666000,Procurement Officer,0,Low
PP-00269,FY2025/2026,DIR-12,CC-012,RG-01,Security Services - Projects and Infrastructure Directorate - HQ,Cleaning Services,Request for Quotations,2025-10-20,4981000,5069000,5493000,Fuel and Lubricants,TND-211207,2025-11-22,2026-06-16,Contract Signed,69,3784000,1709000,Procurement Officer,0,Low
PP-00270,FY2025/2026,DIR-11,CC-030,RG-07,ICT Services - Technical Service Unit 02,Cleaning Services,Request for Quotations,2025-11-21,3642000,3843000,0,Security Services,,,,Cancelled,0,0,0,Procurement Officer,0,Low
PP-00271,FY2025/2026,DIR-13,CC-016,RG-03,Consultancy - Regional Office - Coast Region,Security Services,Request for Quotations,2025-11-03,916000,961000,0,Fuel and Lubricants,,,,Planned,0,0,0,Procurement Officer,0,Low
PP-00272,FY2025/2026,DIR-13,CC-016,RG-03,Training - Regional Office - Coast Region,Office Furniture,Request for Quotations,2026-03-21,3126000,3223000,2896000,Training,TND-899779,2026-04-25,2026-09-07,Ongoing,85,2472000,424000,Procurement Officer,93,Critical
PP-00273,FY2025/2026,DIR-08,CC-008,RG-01,Office Furniture - Internal Audit and Risk Directorate - HQ,Utilities,Request for Quotations,2026-02-15,5777000,6166000,6242000,Training,TND-900390,2026-03-22,2027-01-07,Evaluation,61,3830000,2412000,Procurement Officer,0,Low
PP-00274,FY2025/2026,DIR-13,CC-021,RG-08,ICT Services - Regional Office - Western Region,Consultancy,Low-Value Procurement,2025-10-12,1013000,981000,0,Security Services,,,,Evaluation,0,0,0,Procurement Officer,0,Low
PP-00275,FY2025/2026,DIR-02,CC-002,RG-01,Printing and Stationery - Finance and Accounts Directorate - HQ,Security Services,Open Tender,2025-12-03,6803000,7392000,0,Printing and Stationery,,,,Cancelled,0,0,0,Procurement Officer,0,Low
PP-00276,FY2025/2026,DIR-12,CC-026,RG-04,Security Services - Infrastructure Project Unit 05,Professional Services,Restricted Tender,2025-10-21,5461000,5219000,5462000,ICT Services,TND-300886,2025-12-24,2026-11-18,Ongoing,30,1624000,3838000,Procurement Officer,82,High
PP-00277,FY2025/2026,DIR-13,CC-020,RG-07,Cleaning Services - Regional Office - Rift Valley Region,Medical Supplies,Direct Procurement,2025-08-02,4675000,4554000,4659000,Printing and Stationery,TND-481659,2025-10-27,2026-04-11,Evaluation,68,3178000,1481000,Procurement Officer,0,Low
PP-00278,FY2025/2026,DIR-13,CC-013,RG-01,Construction - Regional Operations Directorate - HQ,Training,Restricted Tender,2025-07-30,4635000,4775000,0,Professional Services,,,,Planned,0,0,0,Procurement Officer,0,Low
PP-00279,FY2025/2026,DIR-12,CC-028,RG-02,Construction - Infrastructure Project Unit 07,Training,Low-Value Procurement,2026-01-27,1185000,1211000,1324000,Printing and Stationery,TND-309405,2026-03-01,2027-02-10,Cancelled,90,1187000,137000,Procurement Officer,0,Low
PP-00280,FY2025/2026,DIR-13,CC-018,RG-05,Printing and Stationery - Regional Office - North Eastern Region,Fuel and Lubricants,Restricted Tender,2025-10-30,7878000,8570000,0,Training,,,,Advertised,0,0,0,Procurement Officer,0,Low
PP-00281,FY2025/2026,DIR-12,CC-028,RG-02,Construction - Infrastructure Project Unit 07,Medical Supplies,Request for Quotations,2025-12-18,4369000,4209000,0,Training,,,,Completed,0,0,0,Procurement Officer,49,High
PP-00282,FY2025/2026,DIR-13,CC-014,RG-01,Travel and Accommodation - Regional Office - Nairobi Region,Equipment,Restricted Tender,2025-11-26,6374000,6259000,5525000,Equipment,TND-334344,2026-02-17,2027-01-20,Awarded,20,1117000,4408000,Procurement Officer,0,Low
PP-00283,FY2025/2026,DIR-13,CC-014,RG-01,Security Services - Regional Office - Nairobi Region,Cleaning Services,Framework Agreement,2026-03-19,5801000,6329000,6247000,Utilities,TND-484554,2026-04-29,2027-02-23,Contract Signed,48,3021000,3226000,Procurement Officer,0,Low
PP-00284,FY2025/2026,DIR-13,CC-021,RG-08,Printing and Stationery - Regional Office - Western Region,Construction,Low-Value Procurement,2025-08-08,326000,338000,0,Consultancy,,,,Planned,0,0,0,Procurement Officer,0,Low
PP-00285,FY2025/2026,DIR-13,CC-014,RG-01,Consultancy - Regional Office - Nairobi Region,Training,Low-Value Procurement,2026-03-05,2108000,2267000,2218000,Construction,TND-310824,2026-04-18,2026-07-20,Delayed,71,1581000,637000,Procurement Officer,44,Medium
PP-00286,FY2025/2026,DIR-13,CC-013,RG-01,ICT Services - Regional Operations Directorate - HQ,Fuel and Lubricants,Request for Quotations,2026-03-25,1449000,1462000,1386000,Printing and Stationery,TND-872230,2026-05-19,2026-09-12,Delayed,79,1099000,287000,Procurement Officer,53,High
PP-00287,FY2025/2026,DIR-10,CC-010,RG-01,"ICT Services - Research, Monitoring and Evaluation Directorate - HQ",Travel and Accommodation,Low-Value Procurement,2025-09-02,2895000,3126000,2539000,Printing and Stationery,TND-448844,2025-10-08,2026-09-12,Evaluation,26,672000,1867000,Procurement Officer,0,Low
PP-00288,FY2025/2026,DIR-13,CC-013,RG-01,Consultancy - Regional Operations Directorate - HQ,ICT Services,Open Tender,2025-11-23,2173000,2191000,2194000,Travel and Accommodation,TND-920976,2026-01-28,2026-12-17,Contract Signed,76,1664000,530000,Procurement Officer,0,Low
PP-00289,FY2025/2026,DIR-11,CC-011,RG-01,Professional Services - Technical Operations Directorate - HQ,Maintenance,Direct Procurement,2025-12-18,2612000,2498000,2289000,Professional Services,TND-434209,2026-03-15,2026-09-15,Cancelled,43,977000,1312000,Procurement Officer,0,Low
PP-00290,FY2025/2026,DIR-12,CC-023,RG-01,Cleaning Services - Infrastructure Project Unit 02,Professional Services,Restricted Tender,2025-09-07,2930000,3143000,0,Printing and Stationery,,,,Planned,0,0,0,Procurement Officer,0,Low
PP-00291,FY2025/2026,DIR-11,CC-032,RG-01,Cleaning Services - Technical Service Unit 04,Equipment,Low-Value Procurement,2025-08-31,2659000,2633000,0,Travel and Accommodation,,,,Advertised,0,0,0,Procurement Officer,0,Low
PP-00292,FY2025/2026,DIR-11,CC-031,RG-01,Consultancy - Technical Service Unit 03,Travel and Accommodation,Request for Quotations,2025-09-10,2513000,2644000,2648000,Utilities,TND-680632,2025-11-30,2026-03-05,Advertised,87,2309000,339000,Procurement Officer,0,Low
PP-00293,FY2025/2026,DIR-12,CC-023,RG-01,Utilities - Infrastructure Project Unit 02,Fuel and Lubricants,Direct Procurement,2025-08-12,3946000,4327000,4152000,Training,TND-646049,2025-09-11,2026-06-23,Cancelled,51,2108000,2044000,Procurement Officer,0,Low
PP-00294,FY2025/2026,DIR-12,CC-024,RG-05,Security Services - Infrastructure Project Unit 03,Maintenance,Framework Agreement,2026-02-03,5906000,6052000,6371000,Fuel and Lubricants,TND-991450,2026-03-31,2026-11-04,Evaluation,75,4762000,1609000,Procurement Officer,0,Low
PP-00295,FY2025/2026,DIR-10,CC-010,RG-01,"Travel and Accommodation - Research, Monitoring and Evaluation Directorate - HQ",Fuel and Lubricants,Low-Value Procurement,2025-09-20,5150000,5113000,0,Training,,,,Contract Signed,0,0,0,Procurement Officer,0,Low
PP-00296,FY2025/2026,DIR-12,CC-023,RG-01,Maintenance - Infrastructure Project Unit 02,ICT Services,Request for Quotations,2025-09-21,6757000,6441000,6948000,Consultancy,TND-577993,2025-10-27,2026-04-03,Cancelled,99,6878000,70000,Procurement Officer,0,Low
PP-00297,FY2025/2026,DIR-11,CC-011,RG-01,Professional Services - Technical Operations Directorate - HQ,ICT Services,Framework Agreement,2025-10-06,4984000,5035000,4290000,Maintenance,TND-333755,2025-12-08,2026-09-15,Planned,56,2403000,1887000,Procurement Officer,0,Low
PP-00298,FY2025/2026,DIR-11,CC-031,RG-01,Travel and Accommodation - Technical Service Unit 03,Fuel and Lubricants,Direct Procurement,2025-11-12,2369000,2434000,2514000,Printing and Stationery,TND-142893,2026-01-13,2026-05-03,Completed,58,1453000,1061000,Procurement Officer,39,Medium
PP-00299,FY2025/2026,DIR-11,CC-031,RG-01,Consultancy - Technical Service Unit 03,Construction,Low-Value Procurement,2026-01-02,4204000,4201000,3936000,ICT Services,TND-646287,2026-02-23,2027-01-09,Awarded,91,3582000,354000,Procurement Officer,0,Low
PP-00300,FY2025/2026,DIR-12,CC-012,RG-01,Training - Projects and Infrastructure Directorate - HQ,Equipment,Restricted Tender,2025-09-16,2882000,3124000,0,Travel and Accommodation,,,,Awarded,0,0,0,Procurement Officer,0,Low
PP-00301,FY2025/2026,DIR-11,CC-030,RG-07,Office Furniture - Technical Service Unit 02,Cleaning Services,Direct Procurement,2026-03-15,6644000,6480000,7093000,Travel and Accommodation,TND-343222,2026-05-26,2026-11-24,Ongoing,80,5700000,1393000,Procurement Officer,119,Critical
PP-00302,FY2025/2026,DIR-02,CC-002,RG-01,Printing and Stationery - Finance and Accounts Directorate - HQ,Maintenance,Low-Value Procurement,2025-12-17,5677000,6077000,4958000,Utilities,TND-717383,2026-01-31,2026-05-27,Awarded,98,4859000,99000,Procurement Officer,0,Low
PP-00303,FY2025/2026,DIR-11,CC-031,RG-01,Travel and Accommodation - Technical Service Unit 03,Fuel and Lubricants,Framework Agreement,2025-10-14,7599000,8038000,8464000,Travel and Accommodation,TND-522253,2025-11-24,2026-06-28,Planned,86,7300000,1164000,Procurement Officer,0,Low
PP-00304,FY2025/2026,DIR-05,CC-005,RG-01,Professional Services - Procurement and Supply Chain Directorate - HQ,ICT Services,Low-Value Procurement,2025-11-20,3735000,3989000,3691000,Security Services,TND-642191,2025-12-31,2026-05-04,Cancelled,58,2138000,1553000,Procurement Officer,0,Low
PP-00305,FY2025/2026,DIR-13,CC-018,RG-05,Printing and Stationery - Regional Office - North Eastern Region,Fuel and Lubricants,Restricted Tender,2025-11-14,1536000,1596000,0,Construction,,,,Planned,0,0,0,Procurement Officer,0,Low
PP-00306,FY2025/2026,DIR-01,CC-001,RG-01,Professional Services - Office of the Chief Executive Officer - HQ,Security Services,Restricted Tender,2025-12-30,7075000,7352000,0,Utilities,,,,Planned,0,0,0,Procurement Officer,0,Low
PP-00307,FY2025/2026,DIR-11,CC-011,RG-01,Maintenance - Technical Operations Directorate - HQ,Training,Framework Agreement,2026-02-11,4381000,4324000,4068000,Maintenance,TND-159698,2026-05-05,2026-11-16,Evaluation,60,2460000,1608000,Procurement Officer,0,Low
PP-00308,FY2025/2026,DIR-05,CC-005,RG-01,Training - Procurement and Supply Chain Directorate - HQ,Consultancy,Framework Agreement,2025-07-22,7620000,7695000,0,Professional Services,,,,Advertised,0,0,0,Procurement Officer,0,Low
PP-00309,FY2025/2026,DIR-13,CC-020,RG-07,Equipment - Regional Office - Rift Valley Region,Fuel and Lubricants,Request for Quotations,2025-10-11,622000,660000,531000,Maintenance,TND-752467,2025-11-12,2026-03-13,Awarded,78,416000,115000,Procurement Officer,0,Low
